indiv,blueprint,scores,features,species,generation
1,9,"[0.21171528947353363, 0.927]","(3, 2, 249)",2,0
2,4,"[0.14336845636367798, 0.961]","(4, 3, 296)",0,0
3,1,"[2.301067897796631, 0.111]","(4, 3, 309)",0,0
4,8,"[2.300384250640869, 0.111]","(5, 4, 436)",1,0
5,3,"[2.300564428329468, 0.111]","(5, 4, 341)",1,0
6,2,"[0.28152258241176603, 0.916]","(3, 2, 313)",2,0
7,10,"[2.3003353176116943, 0.111]","(5, 4, 385)",1,0
8,5,"[2.3007010345458982, 0.111]","(5, 4, 409)",1,0
9,13,"[0.3299450200349093, 0.904]","(2, 1, 213)",2,1
10,12,"[0.20695692360401152, 0.935]","(5, 4, 407)",1,1
11,7,"[0.30570178866386416, 0.898]","(3, 2, 310)",2,1
12,6,"[0.1695462780892849, 0.945]","(3, 2, 398)",2,1
13,11,"[2.3011883735656737, 0.099]","(4, 3, 360)",0,1
14,4,"[0.14682036543637514, 0.953]","(4, 3, 296)",0,1
15,5,"[2.300882972717285, 0.099]","(6, 6, 513)",1,1
16,6,"[0.270549247443676, 0.916]","(3, 2, 398)",2,1
